form_type,source_pdf,source_page,polling_station_no,choice_no,votes,ocr_engine,ocr_confidence,validation_status,reviewer_notes
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,4,1,2,visual_reviewed_digit_crop,1.0,ok,Accepted from high-confidence digit crop after visual contact-sheet check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,4,2,11,visual_reviewed_digit_crop,1.0,ok,Accepted from high-confidence digit crop after visual contact-sheet check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,43,8,1,5,visual_reviewed_digit_crop,1.0,ok,Accepted from high-confidence digit crop after visual contact-sheet check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,61,28,4,4,visual_reviewed_digit_crop,1.0,ok,Accepted from high-confidence digit crop after visual contact-sheet check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,13,3,6,15,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,31,6,1,3,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,31,6,6,5,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,53,9,1,0,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,80,14,1,5,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,80,14,2,59,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,80,14,6,1,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23. Visual review overrides the auto suggestion.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,86,15,1,10,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,86,15,6,3,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23. Visual review overrides the auto suggestion.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,92,16,1,9,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,98,17,6,3,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,13,20,1,16,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
5_18,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,19,21,1,43,visual_reviewed_digit_crop,1.0,ok,Accepted from digit crop after manual visual check on 2026-04-23.
